,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
15182,172.16.1.52,172.16.1.196,609.0,1612985008.0,100.0,1,1.0,0.25269709543568464
15181,172.16.1.196,172.16.1.52,609.0,1612985008.0,100.0,1,1.0,0.25269709543568464
15149,172.16.1.52,172.16.1.196,857.0,1612985001.0,100.0,1,1.0,0.35560165975103736
15338,172.16.1.196,172.16.1.52,661.0,1612985049.0,100.0,1,1.0,0.27427385892116185
15354,172.16.1.196,172.16.1.52,623.0,1612985053.0,100.0,1,1.0,0.25850622406639007
14684,172.16.1.196,172.16.1.52,905.0,1612984881.0,100.0,1,1.0,0.3755186721991701
15355,172.16.1.52,172.16.1.196,623.0,1612985053.0,100.0,1,1.0,0.25850622406639007
15492,172.16.1.52,172.16.1.196,1231.0,1612985089.0,100.0,1,1.0,0.5107883817427386
15491,172.16.1.196,172.16.1.52,1231.0,1612985089.0,100.0,1,1.0,0.5107883817427386
1594,50.245.225.205,172.16.1.52,525.0,1612981041.0,100.0,1,1.0,0.21784232365145229
1591,172.16.1.52,50.245.225.205,525.0,1612981041.0,100.0,1,1.0,0.21784232365145229
7612,10.3.252.33,172.16.1.245,555.0,1612982701.0,100.0,1,1.0,0.23029045643153526
7613,172.16.1.245,10.3.252.33,555.0,1612982701.0,100.0,1,1.0,0.23029045643153526
7616,10.3.252.33,172.16.1.245,455.0,1612982703.0,100.0,1,1.0,0.1887966804979253
7617,172.16.1.245,10.3.252.33,456.0,1612982703.0,100.0,1,1.0,0.1892116182572614
15457,172.16.1.52,172.16.1.196,426.0,1612985081.0,100.0,1,1.0,0.17676348547717843
15454,172.16.1.196,172.16.1.52,426.0,1612985081.0,100.0,1,1.0,0.17676348547717843
15437,172.16.1.52,172.16.1.196,661.0,1612985077.0,100.0,1,1.0,0.27427385892116185
15435,172.16.1.196,172.16.1.52,661.0,1612985077.0,100.0,1,1.0,0.27427385892116185
15407,172.16.1.52,172.16.1.196,665.0,1612985068.0,100.0,1,1.0,0.27593360995850624
15406,172.16.1.196,172.16.1.52,665.0,1612985068.0,100.0,1,1.0,0.27593360995850624
15388,172.16.1.52,172.16.1.196,656.0,1612985065.0,100.0,1,1.0,0.2721991701244813
15147,172.16.1.196,172.16.1.52,857.0,1612985001.0,100.0,1,1.0,0.35560165975103736
15141,172.16.1.52,172.16.1.196,477.0,1612985000.0,100.0,1,1.0,0.1979253112033195
15140,172.16.1.196,172.16.1.52,477.0,1612985000.0,100.0,1,1.0,0.1979253112033195
15122,10.3.252.33,172.16.1.241,1965.0,1612984992.0,0.15267175572519137,1,1.0,0.8153526970954357
14879,172.16.1.52,172.16.1.196,631.0,1612984933.0,100.0,1,1.0,0.26182572614107885
