,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised
145,172.16.1.168,172.16.1.162,1.0,2021-02-10 18:12:31,100.0,0,1.9326384367332043e-236
146,172.16.1.176,172.16.1.178,1.0,2021-02-10 18:12:31,100.0,0,1.9326384367332043e-236
147,172.16.1.178,172.16.1.176,1.0,2021-02-10 18:12:31,100.0,0,1.9326384367332043e-236
148,172.16.1.250,172.16.1.109,1.0,2021-02-10 18:12:31,100.0,0,1.9326384367332043e-236
149,209.17.97.18,172.16.1.109,1.0,2021-02-10 18:12:31,0.0,0,3.0567502356567114e-263
150,172.16.1.10,172.16.1.173,1.0,2021-02-10 18:12:33,100.0,0,1.9326384367332043e-236
151,172.16.1.10,172.16.1.250,1.0,2021-02-10 18:12:33,100.0,0,1.9326384367332043e-236
152,172.16.1.10,52.46.150.26,1.0,2021-02-10 18:12:33,100.0,0,1.9326384367332043e-236
153,172.16.1.173,172.16.1.10,1.0,2021-02-10 18:12:33,100.0,0,1.9326384367332043e-236
154,172.16.1.241,172.16.1.10,1.0,2021-02-10 18:12:33,100.0,0,1.9326384367332043e-236
155,172.16.1.173,172.16.1.214,1.0,2021-02-10 18:12:34,100.0,0,1.9326384367332043e-236
156,172.16.1.214,172.16.1.173,1.0,2021-02-10 18:12:34,100.0,0,1.9326384367332043e-236
157,13.72.67.143,172.16.1.109,1.0,2021-02-10 18:12:35,100.0,0,1.9326384367332043e-236
158,172.16.1.109,13.72.67.143,1.0,2021-02-10 18:12:35,100.0,0,1.9326384367332043e-236
159,172.16.1.109,172.16.1.250,1.0,2021-02-10 18:12:35,100.0,0,1.9326384367332043e-236
160,172.16.1.250,172.16.1.109,1.0,2021-02-10 18:12:35,100.0,0,1.9326384367332043e-236
161,194.147.140.61,172.16.1.109,1.0,2021-02-10 18:12:35,0.0,0,3.0567502356567114e-263
162,194.147.140.94,172.16.1.109,1.0,2021-02-10 18:12:35,0.0,0,3.0567502356567114e-263
163,67.207.88.180,172.16.1.109,1.0,2021-02-10 18:12:35,0.0,0,3.0567502356567114e-263
164,10.3.252.99,172.16.1.196,25.0,2021-02-10 18:12:38,100.0,0,9.59203451833485e-218
165,172.16.1.196,10.3.252.99,25.0,2021-02-10 18:12:38,100.0,0,9.59203451833485e-218
166,172.16.1.196,172.16.1.52,3.0,2021-02-10 18:12:38,100.0,0,6.984424428757537e-235
167,172.16.1.196,172.16.1.96,1.0,2021-02-10 18:12:38,100.0,0,1.9326384367332043e-236
168,172.16.1.52,172.16.1.196,3.0,2021-02-10 18:12:38,100.0,0,6.984424428757537e-235
169,172.16.1.96,172.16.1.196,1.0,2021-02-10 18:12:38,100.0,0,1.9326384367332043e-236
170,172.16.1.196,172.16.1.52,2.0,2021-02-10 18:12:40,100.0,0,1.1618247333171717e-235
171,172.16.1.52,172.16.1.196,2.0,2021-02-10 18:12:40,100.0,0,1.1618247333171717e-235
172,172.16.1.52,50.230.35.38,4.0,2021-02-10 18:12:40,100.0,0,4.198755905440192e-234
173,194.147.140.94,172.16.1.52,1.0,2021-02-10 18:12:40,0.0,0,3.0567502356567114e-263
174,50.230.35.38,172.16.1.52,4.0,2021-02-10 18:12:40,100.0,0,4.198755905440192e-234
175,134.175.88.115,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
176,170.130.187.14,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
177,172.16.1.109,172.16.1.250,5.0,2021-02-10 18:12:41,100.0,0,2.5241236888298634e-233
178,172.16.1.144,172.16.1.173,2.0,2021-02-10 18:12:41,100.0,0,1.1618247333171717e-235
179,172.16.1.162,172.16.1.173,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
180,172.16.1.173,172.16.1.144,2.0,2021-02-10 18:12:41,100.0,0,1.1618247333171717e-235
181,172.16.1.173,172.16.1.162,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
182,172.16.1.173,172.16.1.198,4.0,2021-02-10 18:12:41,100.0,0,4.198755905440192e-234
183,172.16.1.173,172.16.1.214,2.0,2021-02-10 18:12:41,100.0,0,1.1618247333171717e-235
184,172.16.1.173,52.46.144.93,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
185,172.16.1.173,52.46.155.56,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
186,172.16.1.173,52.46.158.105,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
187,172.16.1.173,52.46.159.128,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
188,172.16.1.173,54.239.26.19,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
189,172.16.1.198,172.16.1.173,4.0,2021-02-10 18:12:41,100.0,0,4.198755905440192e-234
190,172.16.1.214,172.16.1.173,2.0,2021-02-10 18:12:41,100.0,0,1.1618247333171717e-235
191,172.16.1.250,172.16.1.10,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
192,172.16.1.250,172.16.1.109,5.0,2021-02-10 18:12:41,100.0,0,2.5241236888298634e-233
193,172.16.1.250,172.16.1.36,4.0,2021-02-10 18:12:41,100.0,0,4.198755905440192e-234
194,172.16.1.250,34.205.216.173,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
195,172.16.1.250,35.168.5.6,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
196,172.16.1.36,172.16.1.250,4.0,2021-02-10 18:12:41,100.0,0,4.198755905440192e-234
197,18.163.111.230,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
198,185.236.11.2,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
199,194.147.140.22,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
200,194.147.140.31,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
201,218.93.208.150,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
202,34.205.216.173,172.16.1.250,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
203,35.168.5.6,172.16.1.250,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
204,43.242.242.42,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
205,52.46.144.93,172.16.1.173,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
206,52.46.155.56,172.16.1.173,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
207,52.46.158.105,172.16.1.173,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
208,52.46.159.128,172.16.1.173,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
209,54.239.26.19,172.16.1.173,1.0,2021-02-10 18:12:41,100.0,0,1.9326384367332043e-236
210,89.109.32.120,172.16.1.173,1.0,2021-02-10 18:12:41,0.0,0,3.0567502356567114e-263
211,172.16.1.140,172.16.1.178,2.0,2021-02-10 18:12:42,100.0,0,1.1618247333171717e-235
212,172.16.1.176,172.16.1.178,1.0,2021-02-10 18:12:42,100.0,0,1.9326384367332043e-236
213,172.16.1.178,172.16.1.140,2.0,2021-02-10 18:12:42,100.0,0,1.1618247333171717e-235
214,172.16.1.178,172.16.1.176,1.0,2021-02-10 18:12:42,100.0,0,1.9326384367332043e-236
215,172.16.1.178,172.16.1.224,2.0,2021-02-10 18:12:42,100.0,0,1.1618247333171717e-235
216,172.16.1.224,172.16.1.178,2.0,2021-02-10 18:12:42,100.0,0,1.1618247333171717e-235
217,172.16.1.196,172.16.1.96,1.0,2021-02-10 18:12:43,100.0,0,1.9326384367332043e-236
218,172.16.1.96,172.16.1.196,1.0,2021-02-10 18:12:43,100.0,0,1.9326384367332043e-236
