,sourceIP,destIP,numOfRequest,time,acceptanceRate
231,23.95.222.129,172.16.1.36,1.0,1612980768.0,0.0
232,52.44.104.29,172.16.1.36,1.0,1612980768.0,100.0
233,172.16.1.140,172.16.1.178,1.0,1612980769.0,100.0
234,172.16.1.148,172.16.1.187,1.0,1612980769.0,100.0
235,172.16.1.173,172.16.1.214,1.0,1612980769.0,100.0
236,172.16.1.178,172.16.1.140,1.0,1612980769.0,100.0
237,172.16.1.187,172.16.1.148,1.0,1612980769.0,100.0
238,172.16.1.214,172.16.1.173,1.0,1612980769.0,100.0
239,172.16.1.196,172.16.1.52,1.0,1612980770.0,100.0
240,172.16.1.52,172.16.1.196,1.0,1612980770.0,100.0
241,172.16.1.52,52.247.201.54,1.0,1612980770.0,100.0
242,194.147.140.67,172.16.1.52,1.0,1612980770.0,0.0
243,220.163.125.148,172.16.1.52,1.0,1612980770.0,0.0
244,52.247.201.54,172.16.1.52,1.0,1612980770.0,100.0
245,172.16.1.10,172.16.1.173,1.0,1612980772.0,100.0
246,172.16.1.173,172.16.1.10,1.0,1612980772.0,100.0
247,172.16.1.252,172.16.1.10,1.0,1612980772.0,100.0
248,52.46.155.31,172.16.1.10,1.0,1612980772.0,100.0
249,172.16.1.10,172.16.1.173,1.0,1612980773.0,100.0
250,172.16.1.10,172.16.1.250,1.0,1612980773.0,100.0
251,172.16.1.10,52.46.144.93,1.0,1612980773.0,100.0
252,172.16.1.10,52.46.155.56,1.0,1612980773.0,100.0
253,172.16.1.173,172.16.1.10,2.0,1612980773.0,100.0
254,35.168.5.6,172.16.1.10,1.0,1612980773.0,100.0
255,54.239.26.19,172.16.1.10,1.0,1612980773.0,100.0
256,172.16.1.109,52.44.104.29,1.0,1612980774.0,100.0
257,172.16.1.162,172.16.1.173,1.0,1612980774.0,100.0
258,172.16.1.173,172.16.1.162,2.0,1612980774.0,100.0
259,205.185.124.237,172.16.1.109,1.0,1612980774.0,0.0
260,52.44.104.29,172.16.1.109,1.0,1612980774.0,100.0
261,10.3.252.99,172.16.1.196,54.0,1612980776.0,100.0
262,172.16.1.196,10.3.252.99,54.0,1612980776.0,100.0
263,172.16.1.196,172.16.1.52,1.0,1612980776.0,100.0
264,172.16.1.52,172.16.1.196,1.0,1612980776.0,100.0
265,172.16.1.10,35.168.5.6,1.0,1612980777.0,100.0
266,172.16.1.157,172.16.1.168,1.0,1612980777.0,100.0
267,172.16.1.168,172.16.1.157,1.0,1612980777.0,100.0
268,172.16.1.241,172.16.1.10,1.0,1612980777.0,100.0
269,52.46.159.128,172.16.1.10,1.0,1612980777.0,100.0
270,162.142.125.31,172.16.1.36,1.0,1612980778.0,0.0
271,172.16.1.173,172.16.1.198,1.0,1612980778.0,100.0
272,172.16.1.176,172.16.1.187,1.0,1612980778.0,100.0
273,172.16.1.187,172.16.1.176,1.0,1612980778.0,100.0
274,172.16.1.250,172.16.1.36,1.0,1612980778.0,100.0
275,172.16.1.36,172.16.1.250,1.0,1612980778.0,100.0
276,194.147.140.18,172.16.1.36,1.0,1612980778.0,0.0
277,194.147.140.96,172.16.1.36,1.0,1612980778.0,0.0
278,194.147.140.98,172.16.1.36,1.0,1612980778.0,0.0
279,172.16.1.168,172.16.1.162,1.0,1612980779.0,100.0
280,172.16.1.215,10.3.252.33,1.0,1612980779.0,100.0
281,172.16.1.187,172.16.1.205,1.0,1612980780.0,100.0
282,172.16.1.205,172.16.1.187,1.0,1612980780.0,100.0
283,194.147.140.150,172.16.1.52,1.0,1612980782.0,0.0
284,194.147.140.18,172.16.1.52,1.0,1612980782.0,0.0
285,194.147.140.63,172.16.1.52,1.0,1612980782.0,0.0
286,194.147.140.75,172.16.1.52,1.0,1612980782.0,0.0
287,172.16.1.157,172.16.1.168,1.0,1612980783.0,100.0
288,172.16.1.168,172.16.1.157,1.0,1612980783.0,100.0
289,172.16.1.10,140.82.114.3,1.0,1612980785.0,100.0
290,172.16.1.10,172.16.1.173,1.0,1612980785.0,100.0
291,172.16.1.162,172.16.1.168,2.0,1612980785.0,100.0
292,172.16.1.162,172.16.1.173,1.0,1612980785.0,100.0
293,172.16.1.168,172.16.1.162,2.0,1612980785.0,100.0
294,172.16.1.173,172.16.1.162,1.0,1612980785.0,100.0
295,172.16.1.178,172.16.1.224,1.0,1612980785.0,100.0
296,172.16.1.224,172.16.1.178,1.0,1612980785.0,100.0
297,172.16.1.196,172.16.1.96,3.0,1612980787.0,100.0
298,172.16.1.96,172.16.1.196,3.0,1612980787.0,100.0
299,172.16.1.140,172.16.1.178,1.0,1612980788.0,100.0
300,172.16.1.178,172.16.1.140,1.0,1612980788.0,100.0
301,10.3.252.99,172.16.1.196,33.0,1612980789.0,100.0
302,13.72.67.143,172.16.1.109,1.0,1612980789.0,100.0
303,140.82.114.3,172.16.1.252,1.0,1612980789.0,100.0
304,172.16.1.109,13.72.67.143,1.0,1612980789.0,100.0
305,172.16.1.109,172.16.1.250,2.0,1612980789.0,100.0
306,172.16.1.109,52.44.104.29,1.0,1612980789.0,100.0
307,172.16.1.144,172.16.1.173,2.0,1612980789.0,100.0
308,172.16.1.173,172.16.1.144,2.0,1612980789.0,100.0
309,172.16.1.196,10.3.252.99,33.0,1612980789.0,100.0
310,172.16.1.196,172.16.1.52,1.0,1612980789.0,100.0
311,172.16.1.250,172.16.1.109,2.0,1612980789.0,100.0
312,172.16.1.252,140.82.114.3,1.0,1612980789.0,100.0
313,172.16.1.52,172.16.1.196,1.0,1612980789.0,100.0
314,209.17.96.26,172.16.1.109,1.0,1612980789.0,0.0
315,45.155.205.58,172.16.1.109,1.0,1612980789.0,0.0
316,52.44.104.29,172.16.1.109,1.0,1612980789.0,100.0
317,172.16.1.10,34.205.216.173,1.0,1612980792.0,100.0
318,172.16.1.10,35.168.5.6,1.0,1612980792.0,100.0
319,172.16.1.148,172.16.1.187,1.0,1612980792.0,100.0
320,172.16.1.187,172.16.1.148,1.0,1612980792.0,100.0
321,172.16.1.250,172.16.1.36,1.0,1612980797.0,100.0
322,172.16.1.36,172.16.1.250,1.0,1612980797.0,100.0
323,93.174.89.34,172.16.1.36,1.0,1612980797.0,0.0
324,52.46.159.128,172.16.1.10,1.0,1612980798.0,100.0
325,64.251.10.152,172.16.1.10,1.0,1612980798.0,100.0
326,172.16.1.173,172.16.1.198,2.0,1612980799.0,100.0
327,172.16.1.198,172.16.1.173,1.0,1612980799.0,100.0
328,172.16.1.196,172.16.1.52,2.0,1612980800.0,100.0
329,172.16.1.52,172.16.1.196,2.0,1612980800.0,100.0
330,205.185.124.237,172.16.1.52,1.0,1612980800.0,0.0
331,10.3.252.99,172.16.1.196,32.0,1612980801.0,100.0
332,172.16.1.196,10.3.252.99,32.0,1612980801.0,100.0
333,172.16.1.168,172.16.1.238,1.0,1612980802.0,100.0
334,172.16.1.238,172.16.1.168,1.0,1612980802.0,100.0
335,172.16.1.109,172.16.1.250,1.0,1612980803.0,100.0
336,172.16.1.148,172.16.1.187,2.0,1612980803.0,100.0
337,172.16.1.173,172.16.1.198,1.0,1612980803.0,100.0
338,172.16.1.176,172.16.1.187,1.0,1612980803.0,100.0
339,172.16.1.187,172.16.1.148,2.0,1612980803.0,100.0
340,172.16.1.187,172.16.1.176,1.0,1612980803.0,100.0
341,172.16.1.187,172.16.1.205,2.0,1612980803.0,100.0
342,172.16.1.196,172.16.1.96,2.0,1612980803.0,100.0
343,172.16.1.198,172.16.1.173,1.0,1612980803.0,100.0
344,172.16.1.205,172.16.1.187,2.0,1612980803.0,100.0
345,172.16.1.250,172.16.1.109,1.0,1612980803.0,100.0
346,172.16.1.96,172.16.1.196,2.0,1612980803.0,100.0
347,194.147.140.88,172.16.1.109,1.0,1612980803.0,0.0
348,74.120.14.82,172.16.1.109,1.0,1612980803.0,0.0
349,172.16.1.157,172.16.1.168,2.0,1612980804.0,100.0
350,172.16.1.162,172.16.1.168,6.0,1612980804.0,100.0
351,172.16.1.168,172.16.1.157,2.0,1612980804.0,100.0
352,172.16.1.168,172.16.1.162,6.0,1612980804.0,100.0
353,172.16.1.168,172.16.1.176,2.0,1612980804.0,100.0
354,172.16.1.168,172.16.1.238,2.0,1612980804.0,100.0
355,172.16.1.176,172.16.1.168,2.0,1612980804.0,100.0
356,172.16.1.238,172.16.1.168,2.0,1612980804.0,100.0
357,172.16.1.10,52.46.158.105,1.0,1612980809.0,100.0
358,172.16.1.140,172.16.1.178,1.0,1612980809.0,100.0
359,172.16.1.173,172.16.1.10,1.0,1612980809.0,100.0
360,172.16.1.178,172.16.1.140,1.0,1612980809.0,100.0
361,172.16.1.252,172.16.1.10,1.0,1612980809.0,100.0
362,194.147.140.88,172.16.1.10,1.0,1612980809.0,100.0
363,34.205.216.173,172.16.1.10,1.0,1612980809.0,100.0
364,52.46.158.105,172.16.1.10,1.0,1612980809.0,100.0
365,140.82.112.3,172.16.1.10,1.0,1612980811.0,100.0
366,172.16.1.10,172.16.1.173,3.0,1612980811.0,100.0
367,172.16.1.10,172.16.1.196,7.0,1612980811.0,100.0
368,172.16.1.10,172.16.1.241,1.0,1612980811.0,100.0
369,172.16.1.10,172.16.1.252,1.0,1612980811.0,100.0
370,172.16.1.10,206.75.147.25,1.0,1612980811.0,100.0
371,172.16.1.10,44.229.194.101,2.0,1612980811.0,100.0
372,172.16.1.10,44.231.94.255,1.0,1612980811.0,100.0
373,172.16.1.10,44.237.246.197,5.0,1612980811.0,100.0
374,172.16.1.10,52.46.147.143,1.0,1612980811.0,100.0
375,172.16.1.173,172.16.1.10,1.0,1612980811.0,100.0
376,172.16.1.187,172.16.1.205,1.0,1612980811.0,100.0
377,172.16.1.196,172.16.1.10,8.0,1612980811.0,100.0
378,172.16.1.205,172.16.1.187,1.0,1612980811.0,100.0
379,172.16.1.241,172.16.1.10,1.0,1612980811.0,100.0
380,172.16.1.250,172.16.1.10,1.0,1612980811.0,100.0
381,206.75.147.25,172.16.1.10,1.0,1612980811.0,100.0
382,44.229.194.101,172.16.1.10,2.0,1612980811.0,100.0
383,44.231.94.255,172.16.1.10,1.0,1612980811.0,100.0
384,44.237.246.197,172.16.1.10,4.0,1612980811.0,100.0
385,52.46.147.143,172.16.1.10,1.0,1612980811.0,100.0
386,52.46.155.56,172.16.1.10,1.0,1612980811.0,100.0
387,89.248.160.139,172.16.1.10,1.0,1612980811.0,100.0
388,10.3.252.99,172.16.1.196,8.0,1612980812.0,100.0
389,172.16.1.148,172.16.1.187,1.0,1612980812.0,100.0
390,172.16.1.176,172.16.1.178,1.0,1612980812.0,100.0
391,172.16.1.178,172.16.1.176,1.0,1612980812.0,100.0
392,172.16.1.187,172.16.1.148,1.0,1612980812.0,100.0
393,172.16.1.196,10.3.252.99,8.0,1612980812.0,100.0
394,172.16.1.196,172.16.1.52,2.0,1612980812.0,100.0
395,172.16.1.196,172.16.1.96,2.0,1612980812.0,100.0
396,172.16.1.241,206.75.147.25,1.0,1612980812.0,100.0
397,172.16.1.241,35.168.5.6,1.0,1612980812.0,100.0
398,172.16.1.52,172.16.1.196,2.0,1612980812.0,100.0
399,172.16.1.96,172.16.1.196,2.0,1612980812.0,100.0
400,206.75.147.25,172.16.1.241,1.0,1612980812.0,100.0
401,35.168.5.6,172.16.1.241,1.0,1612980812.0,100.0
402,37.9.13.214,172.16.1.52,1.0,1612980813.0,0.0
403,167.172.182.153,172.16.1.36,1.0,1612980814.0,0.0
404,172.16.1.250,172.16.1.36,1.0,1612980814.0,100.0
405,172.16.1.36,172.16.1.250,1.0,1612980814.0,100.0
406,209.17.97.26,172.16.1.36,1.0,1612980814.0,0.0
407,75.143.43.66,172.16.1.36,1.0,1612980814.0,0.0
408,139.162.99.58,172.16.1.96,1.0,1612980815.0,0.0
409,172.16.1.173,172.16.1.162,1.0,1612980815.0,100.0
410,194.147.140.28,172.16.1.96,1.0,1612980815.0,0.0
411,172.16.1.162,172.16.1.168,1.0,1612980816.0,100.0
412,172.16.1.168,172.16.1.162,1.0,1612980816.0,100.0
413,172.16.1.168,172.16.1.238,1.0,1612980817.0,100.0
414,172.16.1.238,172.16.1.168,1.0,1612980817.0,100.0
415,172.16.1.10,172.16.1.196,2.0,1612980821.0,100.0
416,172.16.1.10,35.168.5.6,1.0,1612980821.0,100.0
417,172.16.1.10,44.231.94.255,1.0,1612980821.0,100.0
418,172.16.1.10,44.237.246.197,2.0,1612980821.0,100.0
419,172.16.1.109,172.16.1.250,5.0,1612980821.0,100.0
420,172.16.1.196,172.16.1.10,3.0,1612980821.0,100.0
