,sourceIP,destIP,numOfRequest,time,acceptanceRate,is_attack,is_attack_supervised,likelihood
181,172.16.1.52,50.245.225.205,510.0,2021-02-10 18:19:29,100.0,1,0.9999999994769231,21.16182572614108
182,50.245.225.205,172.16.1.52,510.0,2021-02-10 18:19:29,100.0,1,0.9999999994769231,21.16182572614108
248,172.16.1.52,172.16.1.196,509.0,2021-02-10 19:09:01,100.0,1,0.999999999499658,21.12033195020747
247,172.16.1.196,172.16.1.52,509.0,2021-02-10 19:09:01,100.0,1,0.999999999499658,21.12033195020747
305,172.16.1.96,50.230.35.38,504.0,2021-02-10 19:35:01,100.0,1,0.9999999995993416,20.91286307053942
306,50.230.35.38,172.16.1.96,504.0,2021-02-10 19:35:01,100.0,1,0.9999999995993416,20.91286307053942
345,172.16.1.52,73.180.143.70,501.0,2021-02-10 19:42:21,100.0,1,0.9999999996493463,20.78838174273859
346,73.180.143.70,172.16.1.52,501.0,2021-02-10 19:42:21,100.0,1,0.9999999996493463,20.78838174273859
208,172.16.1.52,172.16.1.196,499.0,2021-02-10 18:59:48,100.0,1,0.9999999996791653,20.70539419087137
207,172.16.1.196,172.16.1.52,499.0,2021-02-10 18:59:48,100.0,1,0.9999999996791653,20.70539419087137
195,172.16.1.196,172.16.1.52,497.0,2021-02-10 18:50:44,100.0,1,0.9999999997064484,20.622406639004147
196,172.16.1.52,172.16.1.196,497.0,2021-02-10 18:50:44,100.0,1,0.9999999997064484,20.622406639004147
328,172.16.1.52,172.16.1.196,479.0,2021-02-10 19:38:02,100.0,1,0.99999999986808,19.87551867219917
327,172.16.1.196,172.16.1.52,479.0,2021-02-10 19:38:02,100.0,1,0.99999999986808,19.87551867219917
288,172.16.1.52,172.16.1.196,477.0,2021-02-10 19:23:20,100.0,1,0.9999999998792983,19.79253112033195
287,172.16.1.196,172.16.1.52,477.0,2021-02-10 19:23:20,100.0,1,0.9999999998792983,19.79253112033195
173,172.16.1.52,50.245.225.205,476.0,2021-02-10 18:18:44,100.0,1,0.9999999998845444,19.75103734439834
174,50.245.225.205,172.16.1.52,476.0,2021-02-10 18:18:44,100.0,1,0.9999999998845444,19.75103734439834
230,172.16.1.52,172.16.1.196,473.0,2021-02-10 19:03:20,100.0,1,0.9999999998989539,19.62655601659751
229,172.16.1.196,172.16.1.52,473.0,2021-02-10 19:03:20,100.0,1,0.9999999998989539,19.62655601659751
177,172.16.1.52,50.245.225.205,470.0,2021-02-10 18:19:08,100.0,1,0.9999999999115652,19.502074688796682
178,50.245.225.205,172.16.1.52,470.0,2021-02-10 18:19:08,100.0,1,0.9999999999115652,19.502074688796682
255,172.16.1.196,172.16.1.52,469.0,2021-02-10 19:11:45,100.0,1,0.9999999999154088,19.460580912863072
256,172.16.1.52,172.16.1.196,469.0,2021-02-10 19:11:45,100.0,1,0.9999999999154088,19.460580912863072
213,172.16.1.196,172.16.1.52,467.0,2021-02-10 19:01:00,100.0,1,0.9999999999226024,19.377593360995853
214,172.16.1.52,172.16.1.196,467.0,2021-02-10 19:01:00,100.0,1,0.9999999999226024,19.377593360995853
266,172.16.1.52,172.16.1.196,463.0,2021-02-10 19:13:40,100.0,1,0.9999999999352063,19.211618257261414
265,172.16.1.196,172.16.1.52,463.0,2021-02-10 19:13:40,100.0,1,0.9999999999352063,19.211618257261414
176,50.245.225.205,172.16.1.52,463.0,2021-02-10 18:18:56,100.0,1,0.9999999999352063,19.211618257261414
175,172.16.1.52,50.245.225.205,463.0,2021-02-10 18:18:56,100.0,1,0.9999999999352063,19.211618257261414
251,172.16.1.196,172.16.1.52,461.0,2021-02-10 19:10:00,100.0,1,0.9999999999407161,19.12863070539419
337,172.16.1.196,172.16.1.52,461.0,2021-02-10 19:41:29,100.0,1,0.9999999999407161,19.12863070539419
338,172.16.1.52,172.16.1.196,461.0,2021-02-10 19:41:29,100.0,1,0.9999999999407161,19.12863070539419
